freq,scheme,benefit_type,target_group,unit,country,year,expenditure
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),ES,2015,14.54
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),ES,2016,14.7
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),ES,2017,14.94
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),ES,2018,14.99
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),ES,2019,16.02
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),ES,2020,18.36
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),ES,2021,14.98
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),ES,2022,12.96
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FI,2015,7.07
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FI,2016,4.58
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FI,2017,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FI,2018,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FI,2019,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FI,2020,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FI,2021,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FI,2022,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FR,2015,149.26
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FR,2016,151.49
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FR,2017,149.94
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FR,2018,148.75
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FR,2019,143.89
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FR,2020,143.91
